1,2040,Note_off_c,3,65,90
1,2040,Note_on_c,2,46,84
1,2040,Note_on_c,2,53,84
1,2040,Note_on_c,3,62,83
1,2040,Note_on_c,3,70,83
1,2040,Text_t,6108,NA,NA
1,2160,Note_off_c,2,46,84
1,2160,Note_off_c,2,53,84
1,2160,Note_off_c,3,62,83
1,2160,Note_off_c,3,70,83
1,2160,Note_on_c,2,53,91
1,2160,Note_on_c,2,41,91
1,2160,Note_on_c,3,60,93
1,2160,Note_on_c,3,69,93
1,2160,Text_t,182.371,NA,NA
1,2160,Text_t,6438,NA,NA
1,2160,Tempo,329000,NA,NA
1,2250,Note_off_c,2,53,91
1,2250,Note_off_c,3,60,93
1,2250,Note_off_c,3,69,93
1,2250,Note_on_c,2,53,82
1,2250,Note_on_c,3,58,87
1,2250,Note_on_c,3,67,87
1,2280,Note_off_c,2,53,82
1,2280,Note_off_c,3,58,87
1,2280,Note_off_c,3,67,87
1,2280,Note_on_c,2,53,84
1,2280,Note_on_c,3,57,80
1,2280,Note_on_c,3,65,80
1,2280,Text_t,169.972,NA,NA
1,2280,Text_t,6767,NA,NA
1,2280,Tempo,352999,NA,NA
1,2400,Note_off_c,2,41,91
1,2400,Note_off_c,2,53,84
1,2400,Note_off_c,3,57,80
1,2400,Note_off_c,3,65,80
1,2400,Note_on_c,2,50,87
1,2400,Note_on_c,2,43,87
1,2400,Note_on_c,3,59,83
1,2400,Note_on_c,3,67,83
1,2400,Text_t,136.986,NA,NA
1,2400,Text_t,7120,NA,NA
1,2400,Tempo,438001,NA,NA
1,2460,Note_off_c,2,50,87
1,2460,Note_on_c,2,55,83
1,2520,Note_off_c,2,43,87
1,2520,Note_off_c,2,55,83
1,2520,Note_off_c,3,59,83
1,2520,Note_off_c,3,67,83
1,2520,Note_on_c,2,55,89
1,2520,Note_on_c,2,48,89
1,2520,Note_on_c,3,60,90
1,2520,Note_on_c,3,64,90
1,2520,Text_t,144.578,NA,NA
1,2520,Text_t,7558,NA,NA
1,2520,Tempo,415001,NA,NA
1,2610,Note_off_c,2,55,89
1,2610,Note_off_c,3,60,90
1,2610,Note_off_c,3,64,90
1,2610,Note_on_c,2,53,88
1,2610,Note_on_c,3,62,89
1,2640,Note_off_c,2,53,88
1,2640,Note_off_c,3,62,89
1,2640,Note_on_c,2,52,86
1,2640,Note_on_c,3,60,87
1,2640,Text_t,136.054,NA,NA
1,2640,Text_t,7973,NA,NA
1,2640,Tempo,441001,NA,NA
1,2760,Text_t,179.641,NA,NA
1,2760,Text_t,8414,NA,NA
1,2760,Tempo,333999,NA,NA
1,2880,Note_off_c,2,48,89
1,2880,Note_off_c,2,52,86
1,2880,Note_off_c,3,60,87
1,2880,Note_on_c,2,53,49
1,2880,Note_on_c,2,60,49
1,2880,Note_on_c,3,69,48
1,2880,Note_on_c,3,72,48
1,2880,Text_t,162.162,NA,NA
1,2880,Text_t,8748,NA,NA
1,2880,Text_t,p,NA,NA
1,2880,Tempo,370000,NA,NA
1,2970,Note_off_c,2,53,49
1,2970,Note_off_c,2,60,49
1,2970,Note_off_c,3,69,48
1,2970,Note_off_c,3,72,48
1,2970,Note_on_c,2,53,41
1,2970,Note_on_c,2,60,41
1,2970,Note_on_c,3,69,46
1,2970,Note_on_c,3,72,46
1,3000,Note_off_c,2,53,41
1,3000,Note_off_c,2,60,41
1,3000,Note_off_c,3,69,46
1,3000,Note_off_c,3,72,46
1,3000,Note_on_c,2,53,43
1,3000,Note_on_c,2,60,43
1,3000,Note_on_c,3,69,45
1,3000,Note_on_c,3,72,45
1,3000,Text_t,171.429,NA,NA
1,3000,Text_t,9118,NA,NA
1,3000,Tempo,349999,NA,NA
1,3120,Note_off_c,2,53,43
1,3120,Note_off_c,2,60,43
1,3120,Note_off_c,3,69,45
1,3120,Note_off_c,3,72,45
1,3120,Note_on_c,2,53,46
1,3120,Note_on_c,2,60,46
1,3120,Note_on_c,3,69,50
1,3120,Note_on_c,3,77,50
1,3120,Text_t,166.667,NA,NA
1,3120,Text_t,9468,NA,NA
1,3120,Tempo,359999,NA,NA
1,3240,Note_off_c,2,53,46
1,3240,Note_off_c,2,60,46
1,3240,Note_off_c,3,69,50
1,3240,Note_off_c,3,77,50
1,3240,Note_on_c,2,55,52
1,3240,Note_on_c,2,60,52
1,3240,Note_on_c,2,48,52
1,3240,Note_on_c,3,67,48
1,3240,Note_on_c,3,76,48
1,3240,Text_t,150,NA,NA
1,3240,Text_t,9828,NA,NA
1,3240,Tempo,400000,NA,NA
1,3330,Note_off_c,2,55,52
1,3330,Note_off_c,2,60,52
1,3330,Note_off_c,3,67,48
1,3330,Note_off_c,3,76,48
1,3330,Note_on_c,2,59,49
1,3330,Note_on_c,3,65,45
1,3330,Note_on_c,3,74,45
1,3360,Note_off_c,2,59,49
1,3360,Note_off_c,3,65,45
1,3360,Note_off_c,3,74,45
1,3360,Note_on_c,2,60,41
1,3360,Note_on_c,3,64,41
1,3360,Note_on_c,3,72,41
1,3360,Text_t,179.104,NA,NA
