1, 3720, Note_on_c, 2, 57, 48
1, 3720, Note_on_c, 3, 65, 51
1, 3720, Note_on_c, 3, 69, 51
1, 3720, Text_t, "157.895"
1, 3720, Text_t, "11258"
1, 3720, Tempo, 379999
1, 3840, Note_off_c, 2, 50, 48
1, 3840, Note_off_c, 2, 57, 48
1, 3840, Note_off_c, 3, 65, 51
1, 3840, Note_off_c, 3, 69, 51
1, 3840, Note_on_c, 2, 50, 42
1, 3840, Note_on_c, 2, 57, 42
1, 3840, Note_on_c, 3, 65, 42
1, 3840, Note_on_c, 3, 74, 42
1, 3840, Text_t, "166.667"
1, 3840, Text_t, "11638"
1, 3840, Tempo, 359999
1, 3960, Note_off_c, 2, 50, 42
1, 3960, Note_off_c, 2, 57, 42
1, 3960, Note_off_c, 3, 65, 42
1, 3960, Note_off_c, 3, 74, 42
1, 3960, Note_on_c, 2, 52, 49
1, 3960, Note_on_c, 2, 45, 49
1, 3960, Note_on_c, 3, 64, 56
1, 3960, Note_on_c, 3, 72, 56
1, 3960, Text_t, "153.846"
1, 3960, Text_t, "11998"
1, 3960, Tempo, 390000
1, 4050, Note_off_c, 2, 52, 49
1, 4050, Note_off_c, 3, 64, 56
1, 4050, Note_off_c, 3, 72, 56
1, 4050, Note_on_c, 2, 56, 45
1, 4050, Note_on_c, 3, 62, 46
1, 4050, Note_on_c, 3, 70, 46
1, 4080, Note_off_c, 2, 56, 45
1, 4080, Note_off_c, 3, 62, 46
1, 4080, Note_off_c, 3, 70, 46
1, 4080, Note_on_c, 2, 57, 49
1, 4080, Note_on_c, 3, 60, 48
1, 4080, Note_on_c, 3, 69, 48
1, 4080, Text_t, "166.667"
1, 4080, Text_t, "12388"
1, 4080, Tempo, 359999
1, 4200, Note_off_c, 2, 45, 49
1, 4200, Text_t, "171.429"
1, 4200, Text_t, "12748"
1, 4200, Tempo, 349999
1, 4320, Note_off_c, 2, 57, 49
1, 4320, Note_off_c, 3, 60, 48
1, 4320, Note_off_c, 3, 69, 48
1, 4320, Note_on_c, 2, 46, 54
1, 4320, Note_on_c, 2, 53, 54
1, 4320, Note_on_c, 3, 62, 49
1, 4320, Note_on_c, 3, 65, 49
1, 4320, Text_t, "157.895"
1, 4320, Text_t, "13098"
1, 4320, Tempo, 379999
1, 4410, Note_off_c, 2, 46, 54
1, 4410, Note_off_c, 2, 53, 54
1, 4410, Note_off_c, 3, 62, 49
1, 4410, Note_off_c, 3, 65, 49
1, 4410, Note_on_c, 2, 46, 42
1, 4410, Note_on_c, 2, 53, 42
1, 4410, Note_on_c, 3, 62, 47
1, 4410, Note_on_c, 3, 65, 47
1, 4440, Note_off_c, 2, 46, 42
1, 4440, Note_off_c, 2, 53, 42
1, 4440, Note_off_c, 3, 62, 47
1, 4440, Note_off_c, 3, 65, 47
1, 4440, Note_on_c, 2, 46, 47
1, 4440, Note_on_c, 2, 53, 47
1, 4440, Note_on_c, 3, 62, 50
1, 4440, Note_on_c, 3, 65, 50
1, 4440, Text_t, "176.471"
1, 4440, Text_t, "13478"
1, 4440, Tempo, 339999
1, 4560, Note_off_c, 2, 46, 47
1, 4560, Note_off_c, 2, 53, 47
1, 4560, Note_off_c, 3, 62, 50
1, 4560, Note_off_c, 3, 65, 50
1, 4560, Note_on_c, 2, 46, 42
1, 4560, Note_on_c, 2, 53, 42
1, 4560, Note_on_c, 3, 62, 47
1, 4560, Note_on_c, 3, 70, 47
1, 4560, Text_t, "13818"
1, 4680, Note_off_c, 2, 46, 42
1, 4680, Note_off_c, 2, 53, 42
1, 4680, Note_off_c, 3, 62, 47
1, 4680, Note_off_c, 3, 70, 47
1, 4680, Note_on_c, 2, 41, 54
1, 4680, Note_on_c, 2, 53, 54
1, 4680, Note_on_c, 3, 60, 50
1, 4680, Note_on_c, 3, 69, 50
1, 4680, Text_t, "150"
1, 4680, Text_t, "14158"
1, 4680, Tempo, 400000
1, 4770, Note_off_c, 2, 41, 54
